polygon_name,tahun,movement_change_mean,movement_change_min,movement_change_max,stay_put_mean,n_records
Jakarta Selatan,2022,-0.37526922535211266,-0.57406,-0.15379,0.32666964788732394,142
Jakarta Timur,2021,-0.24432780821917807,-0.49375,-0.08957,0.28277471232876716,365
Jakarta Timur,2022,-0.3683360563380282,-0.56482,-0.14992,0.327252323943662,142
Jakarta Utara,2021,-0.21257090410958904,-0.47167,-0.00813,0.2804103287671233,365
Jakarta Utara,2022,-0.3473798591549296,-0.51318,-0.11614,0.3251107746478873,142
Jambi,2021,-0.09985583561643836,-0.38373,0.0075,0.21092419178082192,365
Jambi,2022,-0.2779044366197183,-0.48895,-0.00992,0.27309788732394363,142
Jayapura,2021,0.03219693150684932,-0.39062,0.26622,0.22236805479452054,365
Jayapura,2022,-0.08841866197183099,-0.25543,0.18922,0.26712098591549294,142
Jayawijaya,2021,-0.05212584269662921,-0.3821,0.15263,0.17197120786516853,356
Jayawijaya,2022,-0.14846528169014087,-0.30137,0.06188,0.24732880281690142,142
Jember,2021,-0.11252923287671232,-0.46796,0.11441,0.24698326027397258,365
Jember,2022,-0.29944401408450705,-0.51841,-0.02123,0.32797950704225354,142
Jembrana,2021,-0.153340301369863,-0.6763,0.15176,0.18981468493150683,365
Jembrana,2022,-0.2833538028169014,-0.75165,0.19671,0.249852323943662,142
Jeneponto,2021,-0.025235013698630137,-0.31034,0.16226,0.20193082191780823,365
Jeneponto,2022,-0.14366950704225354,-0.35419,0.19043,0.24587394366197182,142
Jepara,2021,-0.10315479452054795,-0.37966,0.10182,0.1847630684931507,365
Jepara,2022,-0.2682062676056338,-0.50094,0.07755,0.2606656338028169,142
Jombang,2021,-0.08046994520547945,-0.4449,0.07299,0.22451123287671235,365
Jombang,2022,-0.2966845070422535,-0.55938,0.01922,0.3022357042253521,142
Kaimana,2021,0.0037217260273972597,-0.35183,0.25062,0.24573049315068493,365
Kaimana,2022,-0.1576442957746479,-0.36339,0.22014,0.31076154929577465,142
Kampar,2021,-0.024652739726027398,-0.32931,0.14803,0.20077068493150685,365
Kampar,2022,-0.16407049295774648,-0.40257,0.17579,0.2495706338028169,142
Kapuas,2021,-0.07224934246575343,-0.38516,0.06725,0.23759257534246575,365
Kapuas,2022,-0.2117818309859155,-0.38622,0.01872,0.2868081690140845,142
Kapuas Hulu,2021,-0.020517780821917807,-0.32881,0.13572,0.2462808767123288,365
Kapuas Hulu,2022,-0.17500105633802818,-0.33404,0.09108,0.3176554929577465,142
Karanganyar,2021,-0.14925934246575343,-0.46156,-0.00541,0.17789854794520546,365
Karanganyar,2022,-0.31723894366197186,-0.5497,-0.02679,0.2405175352112676,142
Karangasem,2021,-0.1371044383561644,-0.72866,0.07865,0.2130675890410959,365
Karangasem,2022,-0.2841349295774648,-0.74574,0.01628,0.2683607746478873,142
Karawang,2021,-0.10129641095890411,-0.39127,0.06326,0.20600035616438356,365
Karawang,2022,-0.28270809859154933,-0.55011,0.06373,0.2686197887323944,142
Karimun,2021,-0.07460304109589042,-0.36101,0.0739,0.20305665753424657,365
Karimun,2022,-0.19616098591549294,-0.36667,-0.00589,0.24427985915492956,142
Karo,2021,-0.049349095890410956,-0.34668,0.24762,0.23806531506849316,365
Karo,2022,-0.16413781690140844,-0.34154,0.30385,0.2767916901408451,142
Katingan,2021,-0.051307945205479454,-0.29383,0.15096,0.2643384109589041,365
Katingan,2022,-0.184781338028169,-0.31867,0.0838,0.3070145774647887,142
Kaur,2021,-0.03316312328767123,-0.26498,0.24601,0.2296860273972603,365
Kaur,2022,-0.17110936619718312,-0.40211,0.37551,0.2806457746478873,142
Kayong Utara,2021,-0.05346391780821918,-0.39775,0.22116,0.23829679452054794,365
Kayong Utara,2022,-0.22131401408450704,-0.41449,0.2191,0.31163295774647887,142
Kebumen,2021,-0.11852402739726028,-0.45372,0.12521,0.24678821917808222,365
Kebumen,2022,-0.2661732394366197,-0.53312,0.20923,0.3153738732394366,142
Kediri,2021,-0.10420350684931508,-0.48532,0.16085,0.2260828219178082,365
Kediri,2022,-0.3154329577464789,-0.54392,0.0171,0.3040135915492958,142
